,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,16.011,0.201,1.5043,0.10852,0.10228,-0.0972,0.0487,1.0
1,16.015,0.2,1.5043,0.10847,0.10222,-0.0971,0.0492,1.0
2,15.96,0.199,1.5067,0.10738,0.10113,-0.0971,0.0493,1.0
3,15.946,0.201,1.5062,0.10737,0.10113,-0.097,0.05,1.0
4,16.03,0.201,1.5035,0.10887,0.10262,-0.0972,0.0486,1.0
5,16.025,0.199,1.5042,0.10856,0.10231,-0.0971,0.0488,1.0
6,15.99,0.2,1.5052,0.10802,0.10178,-0.0971,0.0493,1.0
7,16.03,0.201,1.5035,0.10887,0.10262,-0.0972,0.0485,1.0
8,15.958,0.201,1.5063,0.10755,0.10131,-0.0971,0.0492,1.0
9,16.064,0.2,1.5025,0.10935,0.1031,-0.0971,0.0487,1.0
10,16.055,0.2,1.5026,0.10924,0.10298,-0.0972,0.0482,1.0
11,15.933,0.2,1.5074,0.10701,0.10077,-0.0971,0.0494,1.0
12,16.01,0.201,1.5044,0.10849,0.10225,-0.0972,0.0488,1.0
13,16.053,0.2,1.5028,0.10919,0.10294,-0.0972,0.0483,1.0
14,16.064,0.201,1.5021,0.10949,0.10324,-0.0972,0.0481,1.0
