,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,20.032,0.201,1.5424,0.15411,0.14909,-0.1021,0.025,1.0
1,20.059,0.2,1.5427,0.15423,0.14922,-0.102,0.0251,1.0
2,20.049,0.199,1.5428,0.1541,0.14908,-0.1022,0.0249,1.0
3,20.072,0.199,1.543,0.15428,0.14927,-0.1021,0.0251,1.0
4,20.068,0.199,1.543,0.15418,0.14917,-0.102,0.0251,1.0
5,19.965,0.2,1.5421,0.15304,0.14797,-0.1016,0.0253,1.0
6,19.981,0.201,1.5421,0.15334,0.14828,-0.1017,0.0253,1.0
7,20.017,0.2,1.5426,0.1537,0.14866,-0.1019,0.0252,1.0
8,20.009,0.2,1.5425,0.15357,0.14853,-0.1018,0.0252,1.0
9,20.016,0.201,1.5422,0.15378,0.14874,-0.1018,0.0253,1.0
10,20.062,0.2,1.5427,0.15424,0.14923,-0.102,0.0251,1.0
11,19.994,0.199,1.5425,0.15337,0.14831,-0.1019,0.0251,1.0
12,19.973,0.199,1.5425,0.15308,0.14801,-0.1018,0.0252,1.0
13,19.985,0.201,1.5421,0.15335,0.14829,-0.1016,0.0254,1.0
14,19.981,0.2,1.5424,0.15323,0.14817,-0.1017,0.0253,1.0
