,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,19.07,0.2,248357,1.4934,0.13638,0.13114,-0.08,0.0273,1.0
1,19.053,0.199,250159,1.4946,0.13584,0.13057,-0.0798,0.0272,1.0
2,19.065,0.2,245002,1.4913,0.13668,0.13148,-0.08,0.0276,1.0
3,19.048,0.2,250198,1.4942,0.13595,0.1307,-0.0799,0.0272,1.0
4,18.937,0.199,251818,1.493,0.13467,0.12938,-0.0797,0.0275,1.0
5,18.941,0.201,245010,1.4898,0.13534,0.13012,-0.0796,0.028,1.0
6,19.009,0.2,252689,1.495,0.13529,0.13,-0.0798,0.0271,1.0
7,18.925,0.201,252013,1.4923,0.13479,0.12952,-0.0798,0.0275,1.0
8,19.033,0.199,251631,1.4952,0.13547,0.13018,-0.0797,0.0271,1.0
9,18.964,0.202,249358,1.4915,0.13552,0.13028,-0.0799,0.0276,1.0
