,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,11.983,0.198,247019,1.6026,0.03731,0.03062,-0.0901,0.1601,1.0
1,12.058,0.198,254147,1.5961,0.03855,0.03182,-0.0893,0.1472,1.0
2,12.009,0.203,245428,1.6,0.038,0.03131,-0.0896,0.1568,1.0
3,11.958,0.197,254530,1.6036,0.03692,0.03023,-0.0905,0.1579,1.0
4,12.071,0.199,248797,1.5954,0.0388,0.03206,-0.089,0.1491,1.0
5,12.045,0.197,252281,1.5974,0.03828,0.03155,-0.0895,0.1498,1.0
6,12.008,0.2,252003,1.5997,0.03786,0.03116,-0.0898,0.1531,1.0
7,11.975,0.198,248936,1.6029,0.0372,0.03051,-0.0902,0.1596,1.0
8,12.02,0.198,250517,1.5995,0.0379,0.03119,-0.0897,0.1532,1.0
9,12.059,0.198,245833,1.5973,0.03848,0.03175,-0.0892,0.152,1.0
