,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,8.035,0.201,245199,1.5417,0.01801,0.01137,-0.1395,0.4523,1.0
1,8.049,0.198,247873,1.5417,0.0179,0.01126,-0.1394,0.451,1.0
2,8.043,0.199,251849,1.5414,0.01777,0.01114,-0.1393,0.4499,1.0
3,7.984,0.197,247269,1.5369,0.01788,0.01125,-0.14,0.4544,1.0
4,7.983,0.2,248646,1.5376,0.01785,0.01123,-0.1399,0.4537,1.0
5,7.996,0.202,251310,1.5388,0.01778,0.01117,-0.1397,0.452,1.0
6,7.969,0.198,249670,1.536,0.0178,0.01118,-0.14,0.4543,1.0
7,7.988,0.201,252790,1.5378,0.01772,0.01111,-0.1397,0.452,1.0
8,7.958,0.199,248030,1.5358,0.01786,0.01123,-0.1402,0.4553,1.0
9,8.056,0.2,252421,1.5429,0.01777,0.01113,-0.1393,0.4491,1.0
