,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,0.942,0.199,251954,0.8027,0.01063,0.00446,-0.1524,0.6411,1.0
1,0.964,0.201,249078,0.8054,0.0107,0.0045,-0.1525,0.6411,1.0
2,0.947,0.202,245982,0.8033,0.01075,0.00455,-0.1525,0.6425,1.0
3,0.922,0.203,247111,0.8007,0.01071,0.00454,-0.1525,0.6428,1.0
4,0.992,0.197,251952,0.8078,0.01066,0.00447,-0.1523,0.6394,1.0
5,0.94,0.198,250025,0.8021,0.01066,0.00448,-0.1524,0.6418,1.0
6,1.011,0.198,249283,0.8101,0.01073,0.0045,-0.1524,0.6396,1.0
7,1.051,0.199,247648,0.8144,0.01079,0.00454,-0.1523,0.6385,1.0
8,0.926,0.2,253711,0.8011,0.01059,0.00444,-0.1525,0.641,1.0
9,1.026,0.198,254928,0.8114,0.01062,0.00446,-0.1523,0.6366,1.0
