,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,17.95,0.199,245733,1.4857,0.12218,0.11641,-0.0766,0.0311,1.0
1,17.982,0.199,252298,1.4848,0.12306,0.11738,-0.0773,0.0306,1.0
2,17.962,0.203,247365,1.4849,0.12287,0.11715,-0.0769,0.0309,1.0
3,17.949,0.198,252191,1.4847,0.12255,0.11684,-0.0772,0.0307,1.0
4,17.947,0.2,249246,1.4849,0.12252,0.11679,-0.077,0.0309,1.0
5,17.998,0.199,252532,1.485,0.12326,0.1176,-0.0774,0.0305,1.0
6,18.051,0.202,249995,1.4854,0.12404,0.1184,-0.0772,0.0305,1.0
7,18.078,0.201,254476,1.4852,0.12454,0.11894,-0.0777,0.0301,1.0
8,18.056,0.2,246462,1.4861,0.12368,0.118,-0.0769,0.0307,1.0
9,17.996,0.2,249596,1.4852,0.12315,0.11746,-0.0771,0.0307,1.0
