,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,2.031,0.198,245708,0.9222,0.01162,0.00492,-0.1515,0.6065,1.0
1,2.026,0.203,252085,0.9222,0.01149,0.00487,-0.1515,0.6035,1.0
2,1.981,0.197,250953,0.9165,0.01146,0.00483,-0.1515,0.6061,1.0
3,2.041,0.199,250668,0.9232,0.01152,0.00488,-0.1514,0.604,1.0
4,2.059,0.198,251454,0.9249,0.01151,0.00488,-0.1514,0.6032,1.0
5,1.976,0.198,251681,0.9161,0.01145,0.00482,-0.1515,0.6059,1.0
6,1.989,0.201,251659,0.918,0.01146,0.00484,-0.1515,0.6051,1.0
7,1.957,0.197,245959,0.9141,0.01155,0.00486,-0.1516,0.6088,1.0
8,2.035,0.201,252060,0.9228,0.01149,0.00487,-0.1514,0.6034,1.0
9,1.974,0.201,250063,0.9165,0.01149,0.00485,-0.1516,0.6063,1.0
