,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,2.943,0.2,253110,1.0226,0.01227,0.00539,-0.1507,0.578,1.0
1,2.965,0.198,252435,1.0247,0.0123,0.0054,-0.1507,0.5779,1.0
2,2.936,0.202,252679,1.0223,0.01228,0.0054,-0.1508,0.5782,1.0
3,3.066,0.198,245988,1.0359,0.01254,0.00557,-0.1507,0.5776,1.0
4,2.965,0.203,247553,1.0255,0.01242,0.0055,-0.1508,0.579,1.0
5,2.974,0.202,246622,1.0262,0.01244,0.00552,-0.1508,0.5792,1.0
6,3.069,0.199,250523,1.037,0.01247,0.0055,-0.1508,0.5762,1.0
7,3.01,0.2,246094,1.0299,0.01248,0.00554,-0.1507,0.5787,1.0
8,3.034,0.2,245024,1.0325,0.01253,0.00557,-0.1507,0.5785,1.0
9,3.068,0.198,249930,1.0365,0.01247,0.0055,-0.1507,0.5764,1.0
