,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,10.977,0.201,252127,1.6542,0.0256,0.01945,-0.1045,0.2814,1.0
1,11.044,0.201,247995,1.6528,0.02617,0.01999,-0.1035,0.277,1.0
2,10.932,0.2,248187,1.6554,0.02526,0.01913,-0.1053,0.2894,1.0
3,11.052,0.2,254273,1.6525,0.02614,0.01996,-0.1035,0.2714,1.0
4,10.965,0.201,249024,1.655,0.02552,0.01938,-0.1047,0.2846,1.0
5,11.063,0.202,254349,1.6521,0.0263,0.02012,-0.1032,0.2695,1.0
6,10.973,0.199,252449,1.6544,0.0255,0.01935,-0.1047,0.2821,1.0
7,11.054,0.2,249372,1.6527,0.02619,0.02002,-0.1034,0.2748,1.0
8,10.982,0.198,250485,1.6544,0.02555,0.0194,-0.1046,0.2825,1.0
9,10.98,0.201,254714,1.6536,0.02562,0.01946,-0.1045,0.2796,1.0
