,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,10.024,0.198,250124,1.6449,0.02096,0.01487,-0.1179,0.3641,1.0
1,10.058,0.2,250736,1.6462,0.02107,0.015,-0.1174,0.3613,1.0
2,10.037,0.2,247333,1.6456,0.0211,0.015,-0.1177,0.364,1.0
3,10.069,0.201,251146,1.6466,0.02111,0.01504,-0.1172,0.3603,1.0
4,9.971,0.202,248161,1.6435,0.02093,0.0148,-0.1184,0.3678,1.0
5,9.929,0.2,250228,1.6418,0.02073,0.0146,-0.119,0.3696,1.0
6,10.015,0.198,254473,1.6445,0.02083,0.01475,-0.118,0.363,1.0
7,9.974,0.197,245170,1.643,0.02094,0.01479,-0.1186,0.3692,1.0
8,9.974,0.199,245050,1.6433,0.02097,0.01482,-0.1185,0.369,1.0
9,10.019,0.198,249848,1.6447,0.02095,0.01486,-0.118,0.3646,1.0
