,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,4.018,0.199,248943,1.1395,0.01342,0.00638,-0.1498,0.5536,1.0
1,4.073,0.197,248465,1.1449,0.01347,0.00643,-0.1497,0.5526,1.0
2,3.978,0.2,253090,1.1353,0.01328,0.00628,-0.1498,0.553,1.0
3,3.974,0.199,249513,1.1348,0.01336,0.00633,-0.1499,0.5545,1.0
4,4.064,0.203,245539,1.1454,0.01357,0.0065,-0.1499,0.5534,1.0
5,4.016,0.203,246443,1.1403,0.0135,0.00644,-0.15,0.5542,1.0
6,4.028,0.199,254350,1.1404,0.01329,0.0063,-0.1497,0.5515,1.0
7,3.975,0.202,249851,1.1356,0.01337,0.00634,-0.1499,0.5541,1.0
8,4.015,0.202,250352,1.1398,0.01339,0.00637,-0.1499,0.5529,1.0
9,3.947,0.197,246331,1.1318,0.01341,0.00634,-0.15,0.5565,1.0
