,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,9.074,0.198,253889,1.6065,0.01893,0.0126,-0.1297,0.4096,1.0
1,9.003,0.201,253702,1.6044,0.01887,0.01249,-0.1305,0.4124,1.0
2,9.018,0.201,245435,1.6075,0.01915,0.0127,-0.1309,0.4141,1.0
3,9.055,0.2,249207,1.6072,0.01907,0.01269,-0.1301,0.4116,1.0
4,8.98,0.203,249237,1.6055,0.019,0.01255,-0.1311,0.4144,1.0
5,8.99,0.202,246970,1.6064,0.01908,0.01261,-0.1312,0.4147,1.0
6,8.935,0.201,246070,1.6021,0.01901,0.01257,-0.1316,0.417,1.0
7,9.006,0.201,246187,1.6069,0.01911,0.01265,-0.131,0.4144,1.0
8,8.923,0.199,253550,1.6007,0.01875,0.01232,-0.1317,0.4157,1.0
9,8.933,0.202,248555,1.6022,0.01894,0.0125,-0.1316,0.4163,1.0
