,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,6.994,0.2,251663,1.4526,0.0168,0.01004,-0.1453,0.487,1.0
1,7.014,0.198,247473,1.4541,0.01695,0.01016,-0.1453,0.4879,1.0
2,6.956,0.199,253233,1.4486,0.0167,0.00994,-0.1454,0.4876,1.0
3,6.923,0.2,249812,1.4459,0.01678,0.00998,-0.1455,0.4893,1.0
4,6.937,0.202,253420,1.4476,0.01669,0.00993,-0.1454,0.4878,1.0
5,7.04,0.201,252380,1.4576,0.01684,0.01008,-0.1452,0.4856,1.0
6,6.986,0.197,253346,1.4509,0.01672,0.00996,-0.1453,0.487,1.0
7,7.041,0.201,251176,1.4577,0.01688,0.01012,-0.1452,0.4859,1.0
8,7.053,0.199,246352,1.4582,0.01704,0.01025,-0.1452,0.4872,1.0
9,7.053,0.202,249829,1.4591,0.01694,0.01018,-0.1452,0.4859,1.0
