,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,12.952,0.199,252631,1.5406,0.05362,0.04668,-0.0825,0.0859,1.0
1,12.931,0.198,253166,1.5423,0.05314,0.0462,-0.0826,0.0864,1.0
2,13.04,0.199,252137,1.5363,0.0551,0.04817,-0.082,0.0829,1.0
3,12.976,0.202,253021,1.5381,0.05433,0.0474,-0.0823,0.0849,1.0
4,13.051,0.2,247772,1.5342,0.05552,0.04858,-0.0819,0.084,1.0
5,13.022,0.198,254168,1.5379,0.05467,0.04774,-0.0822,0.0829,1.0
6,13.019,0.197,252853,1.5377,0.05459,0.04766,-0.0822,0.0836,1.0
7,12.922,0.199,248397,1.5423,0.05308,0.04614,-0.0825,0.0882,1.0
8,13.016,0.199,246783,1.5362,0.05482,0.04787,-0.082,0.0855,1.0
9,13.062,0.197,250536,1.5356,0.05532,0.04839,-0.0819,0.0827,1.0
