,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,12.989,0.2,1.4418,0.05469,0.04761,-0.0617,0.0605,1.0
1,13.031,0.201,1.4395,0.05547,0.0484,-0.0615,0.0599,1.0
2,13.066,0.201,1.4381,0.05603,0.04895,-0.0613,0.0596,1.0
3,13.04,0.201,1.439,0.05563,0.04856,-0.0614,0.06,1.0
4,13.029,0.199,1.44,0.05529,0.0482,-0.0615,0.0599,1.0
5,12.928,0.2,1.4445,0.0537,0.04662,-0.0619,0.0613,1.0
6,12.961,0.2,1.4432,0.05422,0.04714,-0.0618,0.0604,1.0
7,13.021,0.2,1.4403,0.05523,0.04815,-0.0615,0.0602,1.0
8,12.931,0.2,1.4446,0.05372,0.04665,-0.0619,0.0608,1.0
9,12.928,0.2,1.4447,0.05367,0.0466,-0.062,0.0607,1.0
10,13.064,0.199,1.4387,0.05583,0.04875,-0.0614,0.0596,1.0
11,13.065,0.2,1.4402,0.05575,0.04869,-0.0614,0.0592,1.0
12,13.035,0.199,1.4398,0.05539,0.04831,-0.0615,0.06,1.0
13,13.004,0.201,1.4407,0.05504,0.04796,-0.0616,0.06,1.0
14,13.047,0.201,1.4386,0.05575,0.04867,-0.0614,0.0599,1.0
