,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,7.989,0.201,1.4238,0.01649,0.01,-0.1131,0.4186,1.0
1,8.065,0.2,1.4296,0.01666,0.01015,-0.1126,0.4162,1.0
2,8.064,0.2,1.4295,0.01657,0.01008,-0.1126,0.4153,1.0
3,8.047,0.199,1.4279,0.01665,0.01015,-0.1128,0.4174,1.0
4,8.028,0.199,1.4264,0.0166,0.0101,-0.1129,0.4179,1.0
5,8.045,0.199,1.4277,0.01658,0.01009,-0.1128,0.4167,1.0
6,7.981,0.2,1.423,0.01653,0.01003,-0.1132,0.4198,1.0
7,8.05,0.199,1.4282,0.01666,0.01015,-0.1127,0.4172,1.0
8,7.997,0.199,1.424,0.0165,0.01002,-0.1131,0.4187,1.0
9,7.996,0.2,1.4241,0.0165,0.01001,-0.1131,0.4185,1.0
10,8.001,0.2,1.4245,0.01653,0.01004,-0.113,0.4185,1.0
11,8.076,0.201,1.4307,0.01663,0.01013,-0.1125,0.4151,1.0
12,7.987,0.201,1.4237,0.01652,0.01003,-0.1131,0.4192,1.0
13,7.989,0.199,1.4234,0.01658,0.01008,-0.1132,0.4201,1.0
14,7.945,0.199,1.42,0.01647,0.00996,-0.1135,0.4214,1.0
