,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,4.93,0.197,245912,1.4429,0.01664,0.00914,-0.1963,0.5328,1.0
1,4.932,0.199,251381,1.445,0.01654,0.00904,-0.1966,0.5312,1.0
2,5.055,0.2,245368,1.4584,0.01688,0.00935,-0.1965,0.5311,1.0
3,4.942,0.201,254775,1.4451,0.01646,0.00903,-0.1963,0.5299,1.0
4,4.958,0.198,254429,1.446,0.01647,0.00903,-0.1962,0.5299,1.0
5,5.053,0.202,245127,1.4587,0.0169,0.00937,-0.1966,0.531,1.0
6,4.923,0.197,250227,1.4437,0.01654,0.00903,-0.1966,0.5317,1.0
7,4.944,0.203,248174,1.4478,0.01667,0.00915,-0.1967,0.5317,1.0
8,5.009,0.2,254378,1.4512,0.01655,0.00913,-0.196,0.529,1.0
9,4.976,0.199,251908,1.4487,0.01657,0.00911,-0.1963,0.5303,1.0
