,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,0.932,0.198,247970,1.0166,0.01401,0.00582,-0.2,0.6109,0.2467
1,1.019,0.203,254209,1.026,0.0139,0.0058,-0.1998,0.6053,0.2539
2,1.043,0.201,250040,1.0284,0.01399,0.00588,-0.1998,0.6064,0.2586
3,0.925,0.201,245972,1.0166,0.01407,0.00586,-0.2001,0.6116,0.2462
4,0.99,0.197,245383,1.0225,0.01407,0.00589,-0.1999,0.6102,0.2545
5,0.936,0.198,254393,1.0164,0.01386,0.00574,-0.1998,0.6083,0.2446
6,0.957,0.199,253116,1.0188,0.0139,0.00577,-0.1998,0.608,0.2476
7,0.972,0.201,247630,1.0211,0.01404,0.00587,-0.2,0.6095,0.2512
8,0.947,0.202,245437,1.019,0.01409,0.00588,-0.2001,0.611,0.249
9,1.031,0.199,251880,1.0267,0.01393,0.00583,-0.1998,0.6062,0.2567
