,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,15.036,0.2,253766,1.6377,0.0893,0.08323,-0.1145,0.1028,1.0
1,15.068,0.198,254623,1.6352,0.0899,0.08381,-0.1144,0.1001,1.0
2,14.925,0.2,247589,1.6505,0.0862,0.08017,-0.1145,0.1136,1.0
3,14.947,0.198,247757,1.6488,0.08656,0.08052,-0.1145,0.1119,1.0
4,14.935,0.2,254418,1.648,0.0867,0.08066,-0.1147,0.109,1.0
5,14.961,0.2,245214,1.6473,0.08706,0.08102,-0.1144,0.1122,1.0
6,15.049,0.201,253563,1.6362,0.08973,0.08366,-0.1144,0.1019,1.0
7,15.007,0.201,245198,1.6421,0.08838,0.08233,-0.1143,0.1087,1.0
8,15.078,0.199,246768,1.635,0.09007,0.08399,-0.1142,0.1036,1.0
9,15.023,0.202,251756,1.6386,0.08915,0.08309,-0.1144,0.1047,1.0
