,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,19.031,0.202,247240,1.5527,0.15271,0.14703,-0.1195,0.0304,1.0
1,18.98,0.201,254472,1.5512,0.15245,0.14677,-0.1198,0.0301,1.0
2,18.938,0.202,250520,1.5506,0.15198,0.1463,-0.1195,0.0306,1.0
3,19.059,0.198,254658,1.553,0.15282,0.14713,-0.1197,0.0297,1.0
4,19.043,0.201,246778,1.553,0.15271,0.14701,-0.1194,0.0303,1.0
5,19.079,0.199,248618,1.5536,0.15293,0.14723,-0.1195,0.03,1.0
6,18.998,0.202,253610,1.5517,0.15265,0.14697,-0.1198,0.0301,1.0
7,19.055,0.203,254155,1.553,0.15317,0.14748,-0.1198,0.0297,1.0
8,18.941,0.199,252639,1.5505,0.15186,0.14618,-0.1195,0.0305,1.0
9,18.987,0.202,248751,1.5517,0.15238,0.14669,-0.1195,0.0305,1.0
