,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,20.073,0.201,246244,1.5806,0.16077,0.1554,-0.1204,0.0257,1.0
1,20.047,0.202,252016,1.5792,0.16101,0.15565,-0.1208,0.0254,1.0
2,20.013,0.202,253273,1.5784,0.16075,0.15539,-0.1208,0.0255,1.0
3,20.06,0.201,254413,1.5793,0.16114,0.15578,-0.121,0.0252,1.0
4,20.019,0.197,254777,1.5781,0.16051,0.15512,-0.1208,0.0253,1.0
5,19.924,0.199,248934,1.5767,0.15945,0.15404,-0.1202,0.0261,1.0
6,19.961,0.201,254042,1.577,0.16026,0.15488,-0.1207,0.0256,1.0
7,19.967,0.197,253112,1.5771,0.15993,0.15454,-0.1205,0.0257,1.0
8,19.949,0.198,248058,1.5775,0.1595,0.15409,-0.1201,0.0261,1.0
9,20.038,0.198,253634,1.5788,0.16066,0.15529,-0.1208,0.0254,1.0
