,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,3.066,0.201,250781,1.2435,0.01435,0.00709,-0.1975,0.5619,1.0
1,2.968,0.199,252483,1.2331,0.0142,0.00694,-0.1977,0.5633,1.0
2,3.025,0.201,251598,1.2392,0.01429,0.00703,-0.1976,0.5624,1.0
3,2.999,0.201,254696,1.2361,0.01418,0.00697,-0.1975,0.5618,1.0
4,2.928,0.198,249933,1.2279,0.01419,0.00694,-0.1976,0.5648,1.0
5,2.989,0.202,254075,1.2354,0.0142,0.00697,-0.1976,0.5622,1.0
6,3.004,0.2,252385,1.2368,0.01424,0.00699,-0.1976,0.5626,1.0
7,3.0,0.203,249258,1.2378,0.01434,0.00704,-0.1978,0.5635,1.0
8,2.985,0.203,251174,1.2359,0.01427,0.007,-0.1978,0.5631,1.0
9,3.015,0.2,245573,1.2382,0.01441,0.0071,-0.1977,0.5645,1.0
