,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,15.984,0.2,252775,1.5697,0.11079,0.10466,-0.1144,0.0632,1.0
1,16.003,0.201,245012,1.5676,0.11134,0.10521,-0.1143,0.0646,1.0
2,15.961,0.2,245809,1.57,0.11039,0.10425,-0.1142,0.0656,1.0
3,15.982,0.2,254923,1.57,0.11073,0.1046,-0.1144,0.0628,1.0
4,16.058,0.199,246507,1.5655,0.11223,0.10608,-0.1143,0.063,1.0
5,15.977,0.2,245286,1.5691,0.11072,0.10458,-0.1142,0.0653,1.0
6,16.011,0.198,253677,1.5689,0.11112,0.10498,-0.1144,0.0624,1.0
7,15.951,0.197,253161,1.5721,0.1098,0.10366,-0.1143,0.064,1.0
8,16.03,0.201,250378,1.5669,0.11185,0.10571,-0.1144,0.0627,1.0
9,15.999,0.198,245450,1.5686,0.11094,0.10479,-0.1142,0.0647,1.0
