,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,8.064,0.199,245149,1.7565,0.0214,0.01448,-0.1904,0.4864,1.0
1,7.948,0.199,254811,1.7471,0.02078,0.01387,-0.1909,0.4858,1.0
2,8.065,0.203,250092,1.7609,0.02122,0.0143,-0.1909,0.4851,1.0
3,8.017,0.2,252283,1.7547,0.02101,0.01409,-0.1909,0.4854,1.0
4,8.059,0.202,251047,1.7602,0.02116,0.01423,-0.1909,0.485,1.0
5,8.034,0.197,249178,1.754,0.02114,0.01422,-0.1906,0.486,1.0
6,8.041,0.2,254168,1.7587,0.02097,0.01405,-0.1911,0.4847,1.0
7,8.02,0.201,254975,1.7569,0.02092,0.01399,-0.1911,0.4847,1.0
8,8.035,0.197,245993,1.7527,0.02129,0.01437,-0.1904,0.4867,1.0
9,7.961,0.2,248642,1.7464,0.0211,0.01418,-0.1906,0.487,1.0
