,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,8.972,0.202,254017,1.841,0.02253,0.01592,-0.1872,0.4688,1.0
1,9.064,0.201,251315,1.8518,0.02275,0.01609,-0.1874,0.467,1.0
2,9.008,0.201,254162,1.8462,0.02254,0.0159,-0.1875,0.4678,1.0
3,8.938,0.197,247180,1.8311,0.02284,0.01626,-0.1866,0.4718,1.0
4,9.074,0.202,246726,1.8506,0.02298,0.01634,-0.187,0.4681,1.0
5,8.995,0.199,247280,1.8383,0.02289,0.0163,-0.1866,0.4703,1.0
6,8.949,0.198,253070,1.8355,0.02252,0.01593,-0.187,0.4699,1.0
7,9.016,0.198,253577,1.8454,0.02253,0.0159,-0.1874,0.468,1.0
8,8.988,0.198,245166,1.836,0.023,0.01642,-0.1864,0.4711,1.0
9,8.989,0.198,251176,1.8395,0.02264,0.01604,-0.1869,0.4694,1.0
