,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,14.969,0.2,1.8048,0.07842,0.07314,-0.1334,0.2091,1.0
1,15.064,0.2,1.7911,0.08121,0.07589,-0.1329,0.199,1.0
2,15.068,0.199,1.7918,0.0811,0.07578,-0.1328,0.2001,1.0
3,14.936,0.201,1.8078,0.07775,0.07247,-0.1336,0.2107,1.0
4,15.037,0.2,1.7959,0.0803,0.075,-0.133,0.2033,1.0
5,14.991,0.2,1.8015,0.07908,0.07379,-0.1333,0.2065,1.0
6,15.013,0.201,1.7975,0.07991,0.07461,-0.1332,0.2033,1.0
7,14.934,0.2,1.809,0.0775,0.07222,-0.1336,0.2122,1.0
8,14.995,0.2,1.8014,0.07913,0.07385,-0.1332,0.2068,1.0
9,14.989,0.2,1.8025,0.07892,0.07364,-0.1332,0.2081,1.0
10,15.048,0.199,1.7954,0.08041,0.07511,-0.1329,0.2034,1.0
11,14.953,0.2,1.8072,0.07793,0.07266,-0.1335,0.2116,1.0
12,14.956,0.201,1.806,0.0782,0.07292,-0.1334,0.2102,1.0
13,15.002,0.201,1.8007,0.07937,0.07409,-0.1331,0.2071,1.0
14,15.043,0.2,1.7942,0.08059,0.07528,-0.133,0.2016,1.0
