,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,10.975,0.201,1.9969,0.02854,0.02245,-0.1833,0.4338,1.0
1,11.069,0.199,1.9948,0.02903,0.02298,-0.1816,0.4322,1.0
2,10.947,0.2,2.0018,0.02844,0.02228,-0.1846,0.4353,1.0
3,10.934,0.2,2.0008,0.02832,0.02217,-0.1846,0.4352,1.0
4,11.073,0.2,1.9933,0.02896,0.02294,-0.1812,0.4313,1.0
5,11.076,0.201,1.9952,0.02916,0.02312,-0.1814,0.4322,1.0
6,11.011,0.199,1.9959,0.02869,0.02261,-0.1827,0.4333,1.0
7,11.002,0.199,1.9973,0.02867,0.02258,-0.1831,0.4338,1.0
8,10.972,0.2,1.9999,0.02858,0.02245,-0.1839,0.4347,1.0
9,11.074,0.199,1.995,0.02907,0.02303,-0.1816,0.4323,1.0
10,11.065,0.2,1.9945,0.029,0.02297,-0.1815,0.4321,1.0
11,11.074,0.199,1.9938,0.02897,0.02295,-0.1813,0.4316,1.0
12,10.956,0.201,2.0014,0.02853,0.02238,-0.1843,0.4351,1.0
13,11.036,0.2,1.9953,0.02886,0.0228,-0.1821,0.4327,1.0
14,11.064,0.2,1.9957,0.02908,0.02303,-0.1818,0.4327,1.0
