,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,-0.065,0.2,-0.0066,0.0086,0.00391,-0.0004,0.8736,0.8625
1,0.077,0.199,0.0079,0.00861,0.00392,0.0004,0.8619,0.875
2,0.075,0.2,0.0076,0.00862,0.00392,0.0004,0.8621,0.8749
3,0.077,0.199,0.0078,0.00861,0.00391,0.0004,0.8618,0.8749
4,0.039,0.2,0.004,0.00861,0.00393,0.0002,0.8645,0.8712
5,-0.079,0.2,-0.0082,0.00868,0.00397,-0.0004,0.8759,0.8629
6,0.07,0.201,0.0071,0.0086,0.00391,0.0004,0.862,0.8739
7,-0.014,0.201,-0.0014,0.00869,0.00399,-0.0001,0.8705,0.868
8,0.001,0.2,0.0001,0.0087,0.00399,0.0,0.8695,0.8697
9,-0.056,0.2,-0.0055,0.00866,0.00395,-0.0004,0.8741,0.8641
10,0.035,0.199,0.0036,0.00861,0.00392,0.0002,0.8648,0.8708
11,-0.05,0.2,-0.005,0.00864,0.00394,-0.0003,0.873,0.8642
12,-0.025,0.199,-0.0025,0.00862,0.00394,-0.0001,0.8703,0.8659
13,-0.076,0.199,-0.0079,0.00868,0.00397,-0.0004,0.8758,0.8632
14,-0.026,0.2,-0.0026,0.00865,0.00396,-0.0002,0.8708,0.8663
