,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,19.062,0.202,253259,1.5767,0.16243,0.15676,-0.1389,0.0323,1.0
1,18.997,0.2,251382,1.5756,0.16153,0.15585,-0.1386,0.033,1.0
2,19.067,0.2,251790,1.5766,0.1623,0.15662,-0.1388,0.0324,1.0
3,19.018,0.202,245638,1.5755,0.16186,0.15616,-0.1386,0.0333,1.0
4,18.959,0.197,250923,1.575,0.16087,0.15517,-0.1384,0.0333,1.0
5,19.063,0.202,250947,1.5766,0.16239,0.15672,-0.1389,0.0325,1.0
6,19.015,0.199,247436,1.5755,0.1616,0.1559,-0.1385,0.0332,1.0
7,18.999,0.2,254349,1.5758,0.1616,0.15592,-0.1387,0.0326,1.0
8,18.928,0.202,253192,1.5748,0.16097,0.15529,-0.1385,0.0333,1.0
9,19.016,0.201,249479,1.5757,0.1618,0.15611,-0.1386,0.033,1.0
