,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,6.937,0.199,254961,1.743,0.02064,0.01324,-0.2159,0.5026,1.0
1,6.947,0.198,245401,1.7387,0.02105,0.01365,-0.2151,0.5047,1.0
2,7.016,0.203,245801,1.7491,0.0212,0.0138,-0.2154,0.5037,1.0
3,6.988,0.197,247697,1.7443,0.021,0.0136,-0.2153,0.5038,1.0
4,7.046,0.202,247461,1.7534,0.02117,0.01375,-0.2157,0.503,1.0
5,6.962,0.197,246517,1.7406,0.02101,0.01361,-0.2152,0.5044,1.0
6,6.956,0.198,251675,1.743,0.02079,0.01339,-0.2156,0.5032,1.0
7,7.065,0.2,253150,1.7591,0.02097,0.01355,-0.2164,0.5016,1.0
8,6.996,0.2,250064,1.7479,0.02095,0.01354,-0.2157,0.5031,1.0
9,6.987,0.203,249312,1.7476,0.021,0.01359,-0.2157,0.5032,1.0
