,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,12.024,0.2,254580,1.9914,0.033,0.02735,-0.1665,0.4029,1.0
1,12.012,0.199,253757,1.9927,0.03285,0.02717,-0.1669,0.4036,1.0
2,11.933,0.2,246988,1.9935,0.03271,0.02699,-0.1681,0.4078,1.0
3,11.979,0.198,245629,1.9955,0.03278,0.02704,-0.1678,0.4067,1.0
4,11.947,0.201,245129,1.9935,0.0329,0.02718,-0.1678,0.4079,1.0
5,11.98,0.197,253423,1.9957,0.03244,0.02671,-0.1678,0.4047,1.0
6,11.965,0.202,245141,1.9948,0.03294,0.02722,-0.1677,0.4071,1.0
7,12.024,0.202,254157,1.9914,0.0331,0.02745,-0.1664,0.4029,1.0
8,12.041,0.201,251183,1.9917,0.03323,0.02758,-0.1663,0.4032,1.0
9,12.019,0.201,246185,1.9967,0.03301,0.02727,-0.1672,0.405,1.0
