,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,4.034,0.198,254012,1.4414,0.01651,0.00903,-0.2187,0.5397,1.0
1,4.067,0.198,247503,1.4449,0.01675,0.00922,-0.2187,0.5411,1.0
2,4.029,0.199,246705,1.4413,0.01674,0.00921,-0.2188,0.5419,1.0
3,4.025,0.2,248102,1.4411,0.0167,0.00918,-0.2188,0.5414,1.0
4,4.042,0.197,252142,1.442,0.01657,0.00908,-0.2186,0.5401,1.0
5,3.977,0.198,247100,1.4357,0.01665,0.00914,-0.2188,0.5426,1.0
6,4.057,0.2,251656,1.4444,0.01662,0.00913,-0.2187,0.5399,1.0
7,4.022,0.202,248987,1.4413,0.01668,0.00917,-0.2188,0.5411,1.0
8,3.935,0.199,251939,1.4313,0.01646,0.00899,-0.2188,0.5417,1.0
9,3.925,0.199,248574,1.4305,0.01655,0.00905,-0.2189,0.5429,1.0
