,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,1.057,0.198,253549,1.1277,0.01502,0.00667,-0.2214,0.5923,0.193
1,0.984,0.199,253805,1.1202,0.01502,0.00662,-0.2215,0.594,0.1872
2,1.029,0.199,254481,1.1249,0.015,0.00664,-0.2214,0.5926,0.1905
3,0.96,0.2,250454,1.1184,0.01511,0.00667,-0.2217,0.5957,0.1862
4,0.997,0.2,247082,1.1226,0.01518,0.00674,-0.2218,0.596,0.19
5,1.054,0.197,245030,1.1281,0.01524,0.00681,-0.2217,0.5956,0.1955
6,0.966,0.201,248056,1.1196,0.01517,0.00671,-0.2218,0.5963,0.1873
7,1.011,0.197,246979,1.1236,0.01517,0.00674,-0.2217,0.596,0.1914
8,1.006,0.198,248796,1.1229,0.01513,0.00671,-0.2216,0.5953,0.1904
9,1.075,0.201,250115,1.1303,0.01514,0.00676,-0.2216,0.5928,0.1952
