,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,13.036,0.198,254341,1.9657,0.04138,0.03619,-0.1526,0.3625,1.0
1,12.95,0.198,248140,1.9665,0.04073,0.03552,-0.1534,0.3689,1.0
2,13.061,0.2,246582,1.963,0.04203,0.03685,-0.152,0.3642,1.0
3,12.997,0.203,245526,1.9639,0.04164,0.03645,-0.1525,0.3674,1.0
4,12.977,0.2,249002,1.9655,0.04113,0.03594,-0.153,0.3672,1.0
5,12.925,0.202,247942,1.9667,0.04073,0.03552,-0.1535,0.3698,1.0
6,12.977,0.2,249935,1.9656,0.0411,0.03591,-0.153,0.3668,1.0
7,12.994,0.201,245901,1.9643,0.04146,0.03627,-0.1527,0.3675,1.0
8,12.929,0.2,248467,1.9669,0.04064,0.03542,-0.1536,0.3696,1.0
9,12.96,0.202,247298,1.9655,0.04113,0.03593,-0.1531,0.3685,1.0
