,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,3.022,0.203,247143,1.3353,0.0155,0.00817,-0.2196,0.5564,1.0
1,2.94,0.199,245072,1.3258,0.01545,0.00812,-0.2196,0.5587,1.0
2,2.985,0.2,248491,1.3306,0.01541,0.0081,-0.2195,0.5568,1.0
3,3.044,0.202,253551,1.3375,0.01534,0.00804,-0.2195,0.5541,1.0
4,3.068,0.201,253400,1.3399,0.01537,0.00805,-0.2195,0.5539,1.0
5,3.036,0.199,247052,1.3358,0.0155,0.00816,-0.2195,0.5564,1.0
6,2.92,0.197,249390,1.3229,0.01529,0.008,-0.2195,0.5578,1.0
7,2.979,0.199,252020,1.3296,0.0153,0.00801,-0.2195,0.5558,1.0
8,3.029,0.197,248859,1.3345,0.01542,0.0081,-0.2194,0.5561,1.0
9,2.999,0.197,252508,1.3313,0.01529,0.008,-0.2194,0.5555,1.0
