,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,9.019,0.199,248337,1.919,0.02505,0.01837,-0.2072,0.4782,1.0
1,9.037,0.202,250753,1.9208,0.02501,0.01835,-0.2069,0.4772,1.0
2,9.066,0.203,248668,1.9229,0.02521,0.01856,-0.2067,0.4772,1.0
3,8.972,0.199,247448,1.9161,0.02499,0.01828,-0.2076,0.4791,1.0
4,8.937,0.199,252643,1.9131,0.02464,0.01794,-0.2076,0.4783,1.0
5,9.057,0.199,245090,1.9217,0.02532,0.01864,-0.2071,0.4785,1.0
6,9.074,0.199,253694,1.9238,0.02485,0.01821,-0.2069,0.4762,1.0
7,9.075,0.203,253884,1.9248,0.02491,0.01828,-0.2068,0.4759,1.0
8,9.075,0.201,246452,1.9231,0.02532,0.01866,-0.2068,0.4777,1.0
9,9.011,0.2,252814,1.9187,0.0248,0.01814,-0.2072,0.4772,1.0
