,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,5.022,0.202,249243,1.5459,0.01803,0.01047,-0.218,0.5277,1.0
1,5.04,0.197,250616,1.5462,0.01796,0.01042,-0.2178,0.5273,1.0
2,5.025,0.198,252863,1.5447,0.01788,0.01035,-0.2177,0.5268,1.0
3,5.07,0.198,250641,1.5494,0.01801,0.01047,-0.2177,0.5269,1.0
4,4.96,0.203,251328,1.5399,0.01789,0.01034,-0.218,0.5279,1.0
5,4.946,0.2,246284,1.5389,0.01801,0.0104,-0.2183,0.5298,1.0
6,5.062,0.198,254638,1.5483,0.01787,0.01036,-0.2176,0.5258,1.0
7,4.991,0.197,250967,1.5414,0.01789,0.01034,-0.2179,0.5279,1.0
8,5.014,0.2,251672,1.5443,0.01792,0.01038,-0.2178,0.5272,1.0
9,4.922,0.198,252111,1.5348,0.01776,0.01022,-0.218,0.5285,1.0
