,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,10.021,0.201,1.755,0.02211,0.01597,-0.1437,0.408,1.0
1,9.931,0.199,1.7539,0.02206,0.01582,-0.1454,0.4131,1.0
2,10.078,0.201,1.7574,0.02237,0.01622,-0.1431,0.4071,1.0
3,10.044,0.201,1.7558,0.0222,0.01605,-0.1434,0.4074,1.0
4,9.923,0.199,1.7533,0.02199,0.01576,-0.1454,0.4129,1.0
5,9.994,0.2,1.7547,0.02215,0.01597,-0.1443,0.41,1.0
6,10.034,0.2,1.7558,0.02224,0.01608,-0.1437,0.4085,1.0
7,9.998,0.2,1.7557,0.02229,0.01609,-0.1444,0.411,1.0
8,10.02,0.201,1.7548,0.02208,0.01594,-0.1437,0.4077,1.0
9,10.073,0.2,1.7568,0.02227,0.01613,-0.1431,0.4067,1.0
10,9.94,0.199,1.7523,0.02188,0.0157,-0.1449,0.4109,1.0
11,9.981,0.201,1.7558,0.0223,0.01607,-0.1446,0.4118,1.0
12,10.069,0.201,1.7569,0.02228,0.01614,-0.1431,0.4068,1.0
13,9.959,0.199,1.7543,0.02212,0.0159,-0.1449,0.412,1.0
14,9.921,0.2,1.7548,0.02213,0.01585,-0.1457,0.414,1.0
15,10.067,0.2,1.7569,0.02234,0.01619,-0.1433,0.4076,1.0
16,9.979,0.201,1.7544,0.02212,0.01594,-0.1444,0.4104,1.0
17,10.026,0.201,1.7555,0.02219,0.01604,-0.1437,0.4084,1.0
18,10.055,0.201,1.757,0.0224,0.01623,-0.1435,0.4085,1.0
19,9.951,0.199,1.7534,0.02202,0.01582,-0.1449,0.4115,1.0
20,10.071,0.199,1.7565,0.02223,0.01609,-0.1432,0.4067,1.0
21,10.032,0.2,1.7563,0.02234,0.01616,-0.1438,0.4095,1.0
22,10.08,0.201,1.7574,0.02234,0.0162,-0.143,0.4067,1.0
23,9.954,0.2,1.7537,0.02205,0.01585,-0.1448,0.4114,1.0
24,9.993,0.2,1.7548,0.02218,0.01599,-0.1443,0.4103,1.0
25,10.023,0.2,1.7551,0.02213,0.01598,-0.1438,0.4082,1.0
26,9.964,0.199,1.7535,0.02202,0.01583,-0.1447,0.4108,1.0
27,10.071,0.2,1.7573,0.02243,0.01627,-0.1433,0.4081,1.0
28,10.055,0.2,1.757,0.0224,0.01623,-0.1435,0.4087,1.0
29,9.983,0.2,1.7541,0.02208,0.01591,-0.1444,0.4101,1.0
30,9.982,0.2,1.7556,0.02227,0.01605,-0.1447,0.4118,1.0
31,9.965,0.2,1.7549,0.02218,0.01596,-0.1448,0.412,1.0
32,10.003,0.199,1.7545,0.02212,0.01595,-0.1441,0.4094,1.0
33,9.936,0.201,1.7529,0.02196,0.01576,-0.1449,0.4114,1.0
34,9.96,0.2,1.7544,0.02212,0.01591,-0.1448,0.4118,1.0
35,9.988,0.201,1.7539,0.02203,0.01587,-0.1441,0.409,1.0
36,9.989,0.2,1.7546,0.02215,0.01597,-0.1443,0.4103,1.0
37,9.965,0.199,1.7536,0.02203,0.01584,-0.1447,0.4109,1.0
38,9.964,0.199,1.753,0.02195,0.01578,-0.1446,0.4101,1.0
39,10.06,0.2,1.7566,0.0223,0.01615,-0.1433,0.4076,1.0
40,10.08,0.2,1.7569,0.02222,0.01609,-0.143,0.406,1.0
41,9.958,0.199,1.7545,0.02214,0.01591,-0.145,0.4122,1.0
42,10.002,0.2,1.7548,0.02215,0.01598,-0.1441,0.4095,1.0
43,10.013,0.199,1.7559,0.02232,0.01612,-0.1442,0.4106,1.0
44,9.946,0.2,1.7551,0.02219,0.01594,-0.1452,0.4132,1.0
45,9.921,0.2,1.7533,0.02199,0.01576,-0.1454,0.4128,1.0
46,9.968,0.2,1.7545,0.02214,0.01594,-0.1447,0.4114,1.0
47,10.072,0.2,1.7572,0.0224,0.01624,-0.1432,0.4078,1.0
48,10.074,0.199,1.7576,0.02248,0.01631,-0.1434,0.4085,1.0
49,10.001,0.201,1.755,0.02218,0.016,-0.1441,0.4096,1.0
50,10.043,0.2,1.7561,0.02229,0.01613,-0.1436,0.4085,1.0
51,9.944,0.2,1.7533,0.02201,0.01581,-0.1449,0.4116,1.0
52,10.019,0.199,1.756,0.02231,0.01612,-0.1441,0.4102,1.0
53,9.964,0.199,1.7539,0.02207,0.01587,-0.1447,0.4112,1.0
54,9.946,0.2,1.7529,0.02195,0.01576,-0.1448,0.411,1.0
55,10.029,0.2,1.7565,0.02238,0.01619,-0.1439,0.41,1.0
56,9.926,0.199,1.7544,0.0221,0.01584,-0.1456,0.4137,1.0
57,10.068,0.2,1.7565,0.02222,0.01609,-0.1432,0.4066,1.0
58,9.998,0.2,1.7541,0.02204,0.01589,-0.1441,0.4089,1.0
59,9.972,0.201,1.7535,0.022,0.01583,-0.1444,0.4097,1.0
60,10.021,0.2,1.7551,0.02214,0.01599,-0.1438,0.4085,1.0
61,10.031,0.201,1.7563,0.02234,0.01617,-0.1438,0.4094,1.0
62,9.931,0.201,1.7537,0.02204,0.01582,-0.1452,0.4125,1.0
63,9.935,0.2,1.7534,0.022,0.01579,-0.1451,0.4121,1.0
64,10.075,0.199,1.7566,0.02222,0.01608,-0.1431,0.4064,1.0
65,10.014,0.199,1.7551,0.02218,0.01601,-0.144,0.4094,1.0
66,10.033,0.201,1.7568,0.02241,0.01622,-0.1438,0.4098,1.0
67,10.011,0.2,1.7544,0.02205,0.01591,-0.1439,0.4082,1.0
68,9.943,0.201,1.7529,0.02195,0.01577,-0.1448,0.411,1.0
69,10.027,0.201,1.7556,0.02223,0.01608,-0.1437,0.4087,1.0
70,10.031,0.2,1.756,0.02229,0.01612,-0.1438,0.4091,1.0
71,10.049,0.2,1.7564,0.02232,0.01616,-0.1435,0.4084,1.0
72,9.941,0.2,1.7529,0.02196,0.01576,-0.1449,0.4113,1.0
73,9.999,0.201,1.7561,0.02234,0.01613,-0.1444,0.4112,1.0
74,10.035,0.199,1.7563,0.02235,0.01617,-0.1439,0.4096,1.0
75,9.969,0.2,1.7548,0.02218,0.01597,-0.1448,0.4118,1.0
76,10.016,0.2,1.7548,0.02212,0.01597,-0.1438,0.4085,1.0
77,9.925,0.201,1.7546,0.02212,0.01587,-0.1455,0.4136,1.0
78,9.945,0.2,1.755,0.02218,0.01594,-0.1453,0.4132,1.0
79,9.924,0.2,1.7546,0.02212,0.01586,-0.1456,0.4138,1.0
80,9.987,0.201,1.7556,0.02228,0.01607,-0.1445,0.4113,1.0
81,10.059,0.2,1.7572,0.02244,0.01627,-0.1435,0.4089,1.0
82,10.041,0.2,1.7554,0.02211,0.01598,-0.1435,0.4071,1.0
83,9.957,0.2,1.7541,0.0221,0.01589,-0.1449,0.4117,1.0
84,10.058,0.199,1.7565,0.0223,0.01615,-0.1434,0.408,1.0
85,10.016,0.2,1.7558,0.02229,0.0161,-0.144,0.4099,1.0
86,10.01,0.201,1.7554,0.02223,0.01606,-0.144,0.4096,1.0
87,9.996,0.201,1.7546,0.02212,0.01596,-0.1441,0.4094,1.0
88,9.994,0.201,1.7542,0.02207,0.01591,-0.1441,0.4091,1.0
89,9.924,0.199,1.7522,0.02188,0.01568,-0.1452,0.4118,1.0
90,10.077,0.201,1.7574,0.02238,0.01623,-0.1431,0.4072,1.0
91,10.035,0.199,1.7551,0.02211,0.01597,-0.1436,0.4076,1.0
92,9.957,0.2,1.7528,0.02193,0.01576,-0.1446,0.4102,1.0
93,9.924,0.201,1.7543,0.0221,0.01585,-0.1454,0.4134,1.0
94,10.023,0.199,1.7561,0.02232,0.01613,-0.144,0.4101,1.0
95,9.945,0.2,1.7537,0.02205,0.01584,-0.145,0.4119,1.0
96,10.074,0.201,1.7574,0.0224,0.01625,-0.1432,0.4075,1.0
97,9.996,0.2,1.7559,0.02232,0.0161,-0.1445,0.4114,1.0
98,10.009,0.199,1.7546,0.02212,0.01596,-0.144,0.4091,1.0
99,10.012,0.2,1.7554,0.02223,0.01605,-0.144,0.4097,1.0
