,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,7.031,0.199,1.5622,0.01812,0.01111,-0.1701,0.4958,1.0
1,6.969,0.201,1.5579,0.01815,0.01107,-0.1705,0.4978,1.0
2,7.076,0.2,1.5667,0.01828,0.01126,-0.17,0.4956,1.0
3,7.069,0.201,1.5656,0.01819,0.01121,-0.1699,0.495,1.0
4,6.944,0.201,1.5558,0.01803,0.01096,-0.1707,0.4975,1.0
5,6.931,0.2,1.5535,0.01801,0.01094,-0.1705,0.4979,1.0
6,6.926,0.199,1.5515,0.01806,0.011,-0.1704,0.4986,1.0
7,7.04,0.2,1.5637,0.01819,0.01117,-0.1702,0.496,1.0
8,6.936,0.201,1.5539,0.01807,0.011,-0.1705,0.4981,1.0
9,7.007,0.199,1.5615,0.01817,0.0111,-0.1705,0.4969,1.0
10,6.965,0.2,1.5574,0.01802,0.01096,-0.1706,0.4969,1.0
11,6.921,0.201,1.5529,0.01798,0.01092,-0.1706,0.4978,1.0
12,6.943,0.199,1.5551,0.01799,0.01092,-0.1706,0.4975,1.0
13,6.998,0.199,1.5604,0.01812,0.01106,-0.1705,0.4968,1.0
14,6.93,0.201,1.5538,0.01801,0.01094,-0.1706,0.4978,1.0
