,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,4.942,0.201,1.3439,0.01535,0.0081,-0.1729,0.5321,1.0
1,5.011,0.199,1.3508,0.01552,0.00824,-0.1728,0.532,1.0
2,4.963,0.199,1.3455,0.0154,0.00814,-0.1728,0.5322,1.0
3,4.943,0.2,1.343,0.01552,0.00825,-0.1728,0.5338,1.0
4,4.988,0.201,1.3487,0.01551,0.00824,-0.1728,0.5324,1.0
5,5.045,0.2,1.3566,0.01544,0.00815,-0.1731,0.5298,1.0
6,5.03,0.2,1.3533,0.01555,0.00827,-0.1728,0.5317,1.0
7,4.952,0.201,1.3446,0.01546,0.0082,-0.1728,0.5329,1.0
8,4.926,0.2,1.3415,0.01541,0.00815,-0.1728,0.5332,1.0
9,4.983,0.201,1.3486,0.01541,0.00815,-0.1729,0.5315,1.0
10,5.063,0.2,1.3577,0.01554,0.00825,-0.173,0.5305,1.0
11,4.987,0.2,1.348,0.01557,0.00829,-0.1728,0.5331,1.0
12,4.93,0.2,1.3424,0.01529,0.00804,-0.1729,0.5319,1.0
13,4.996,0.2,1.3498,0.01543,0.00817,-0.1729,0.5315,1.0
14,5.009,0.199,1.3508,0.01547,0.0082,-0.1728,0.5316,1.0
15,4.96,0.2,1.3461,0.01531,0.00805,-0.1729,0.5312,1.0
16,5.076,0.199,1.36,0.01549,0.00819,-0.1731,0.5295,1.0
17,4.994,0.199,1.3485,0.01556,0.00828,-0.1728,0.5329,1.0
18,4.958,0.199,1.3447,0.01547,0.0082,-0.1728,0.533,1.0
19,5.026,0.201,1.3529,0.01559,0.0083,-0.1728,0.5321,1.0
20,5.068,0.2,1.3576,0.01563,0.00833,-0.1729,0.5313,1.0
21,4.947,0.199,1.3432,0.01551,0.00824,-0.1728,0.5338,1.0
22,5.04,0.2,1.3553,0.01547,0.00819,-0.173,0.5305,1.0
23,4.989,0.2,1.3494,0.01537,0.00811,-0.1729,0.5309,1.0
24,5.036,0.2,1.3541,0.01555,0.00826,-0.1729,0.5315,1.0
25,4.93,0.2,1.3417,0.01548,0.00821,-0.1728,0.5338,1.0
26,4.94,0.2,1.3435,0.01531,0.00806,-0.1729,0.5318,1.0
27,4.983,0.201,1.3492,0.01534,0.00808,-0.173,0.5307,1.0
28,5.042,0.2,1.3544,0.01561,0.00832,-0.1728,0.5319,1.0
29,5.054,0.2,1.357,0.0155,0.00821,-0.173,0.5303,1.0
30,4.966,0.2,1.3456,0.01555,0.00827,-0.1728,0.5335,1.0
31,5.075,0.2,1.3594,0.01555,0.00825,-0.173,0.5302,1.0
32,5.006,0.199,1.3503,0.01549,0.00822,-0.1728,0.5319,1.0
33,4.963,0.2,1.3461,0.01536,0.00811,-0.1729,0.5317,1.0
34,4.969,0.2,1.3462,0.01549,0.00822,-0.1728,0.5328,1.0
35,4.996,0.2,1.3493,0.01552,0.00824,-0.1728,0.5323,1.0
36,4.939,0.2,1.3434,0.01531,0.00806,-0.1729,0.5319,1.0
37,5.049,0.199,1.3565,0.01545,0.00816,-0.173,0.53,1.0
38,4.936,0.2,1.3427,0.01539,0.00813,-0.1728,0.5327,1.0
39,5.051,0.199,1.3558,0.01553,0.00824,-0.1729,0.5309,1.0
40,5.034,0.199,1.3535,0.01554,0.00825,-0.1728,0.5315,1.0
41,5.008,0.199,1.35,0.0156,0.00831,-0.1728,0.5329,1.0
42,4.993,0.2,1.3487,0.01558,0.0083,-0.1728,0.533,1.0
43,5.064,0.199,1.3573,0.01556,0.00827,-0.1729,0.5308,1.0
44,4.991,0.199,1.3482,0.01555,0.00827,-0.1728,0.5329,1.0
45,5.027,0.2,1.3537,0.01545,0.00817,-0.173,0.5307,1.0
46,5.072,0.2,1.3582,0.01562,0.00832,-0.1729,0.5311,1.0
47,4.968,0.2,1.3459,0.01554,0.00826,-0.1728,0.5333,1.0
48,4.946,0.199,1.344,0.0153,0.00806,-0.1728,0.5317,1.0
49,5.0,0.199,1.3498,0.01546,0.00819,-0.1728,0.5317,1.0
50,5.059,0.201,1.3584,0.01549,0.00819,-0.1731,0.5298,1.0
51,5.052,0.201,1.3557,0.01566,0.00837,-0.1728,0.5321,1.0
52,4.92,0.199,1.3409,0.01529,0.00805,-0.1728,0.5324,1.0
53,4.958,0.201,1.3458,0.01537,0.00811,-0.1729,0.5318,1.0
54,5.069,0.199,1.3572,0.01565,0.00835,-0.1728,0.5316,1.0
55,5.076,0.2,1.3588,0.01561,0.00831,-0.1729,0.5309,1.0
56,5.05,0.2,1.3557,0.01558,0.00829,-0.1729,0.5313,1.0
57,5.028,0.201,1.3531,0.0156,0.00831,-0.1728,0.5321,1.0
58,5.076,0.199,1.3582,0.01564,0.00834,-0.1728,0.5313,1.0
59,5.028,0.199,1.3534,0.01546,0.00818,-0.1729,0.5309,1.0
60,5.026,0.199,1.3529,0.01548,0.00821,-0.1729,0.5312,1.0
61,5.013,0.199,1.3517,0.01542,0.00815,-0.1729,0.531,1.0
62,5.043,0.2,1.3553,0.01551,0.00822,-0.1729,0.5308,1.0
63,4.988,0.2,1.3493,0.01536,0.0081,-0.1729,0.5309,1.0
64,5.022,0.199,1.3523,0.01549,0.00821,-0.1729,0.5314,1.0
65,5.07,0.199,1.3576,0.01561,0.00831,-0.1729,0.5312,1.0
66,5.057,0.2,1.3572,0.01552,0.00823,-0.173,0.5305,1.0
67,4.993,0.201,1.3492,0.01554,0.00826,-0.1728,0.5325,1.0
68,4.933,0.199,1.3418,0.01545,0.00819,-0.1728,0.5336,1.0
69,5.016,0.201,1.3518,0.01557,0.00828,-0.1728,0.5321,1.0
70,5.046,0.199,1.3561,0.01545,0.00816,-0.173,0.5301,1.0
71,5.034,0.199,1.3539,0.01548,0.0082,-0.1729,0.531,1.0
72,5.003,0.2,1.3505,0.01546,0.00818,-0.1729,0.5315,1.0
73,5.049,0.199,1.3548,0.01564,0.00835,-0.1728,0.5321,1.0
74,4.977,0.199,1.3477,0.01533,0.00808,-0.1729,0.5311,1.0
75,5.062,0.201,1.3572,0.01563,0.00833,-0.1729,0.5314,1.0
76,4.996,0.201,1.35,0.01546,0.00819,-0.1729,0.5316,1.0
77,4.955,0.199,1.344,0.01555,0.00827,-0.1728,0.5339,1.0
78,5.022,0.2,1.3522,0.01556,0.00828,-0.1728,0.532,1.0
79,5.054,0.2,1.3569,0.0155,0.00822,-0.173,0.5304,1.0
80,4.982,0.201,1.3481,0.01549,0.00822,-0.1728,0.5323,1.0
81,5.006,0.2,1.3514,0.0154,0.00813,-0.1729,0.5308,1.0
82,5.073,0.2,1.3584,0.0156,0.00831,-0.1729,0.5309,1.0
83,4.993,0.199,1.3491,0.01542,0.00816,-0.1728,0.5315,1.0
84,4.926,0.2,1.3417,0.01533,0.00809,-0.1728,0.5325,1.0
85,5.04,0.2,1.3543,0.0156,0.00831,-0.1728,0.5319,1.0
86,5.015,0.2,1.3521,0.01545,0.00817,-0.1729,0.531,1.0
87,4.923,0.201,1.3411,0.01549,0.00822,-0.1728,0.534,1.0
88,4.949,0.2,1.3438,0.01551,0.00824,-0.1728,0.5335,1.0
89,4.924,0.2,1.3414,0.01536,0.00811,-0.1728,0.5328,1.0
90,4.928,0.2,1.3415,0.01548,0.00821,-0.1728,0.5338,1.0
91,4.96,0.2,1.3449,0.01555,0.00828,-0.1728,0.5337,1.0
92,5.04,0.2,1.3551,0.01549,0.00821,-0.173,0.5307,1.0
93,4.975,0.201,1.3469,0.01559,0.00831,-0.1728,0.5335,1.0
94,5.054,0.199,1.3569,0.01547,0.00818,-0.173,0.5301,1.0
95,5.041,0.199,1.354,0.0156,0.00831,-0.1728,0.532,1.0
96,4.987,0.199,1.3479,0.01551,0.00824,-0.1728,0.5327,1.0
97,5.004,0.2,1.3514,0.01537,0.0081,-0.173,0.5305,1.0
98,4.97,0.2,1.3463,0.0155,0.00822,-0.1728,0.5328,1.0
99,5.07,0.199,1.3571,0.01569,0.00839,-0.1728,0.532,1.0
