,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,6.957,0.2,0.991,0.01446,0.00743,-0.0413,0.2471,1.0
1,6.941,0.2,0.9899,0.01439,0.00737,-0.0414,0.2482,1.0
2,6.947,0.199,0.9902,0.01441,0.00739,-0.0414,0.2482,1.0
3,7.012,0.2,0.9954,0.01459,0.00753,-0.041,0.2392,1.0
4,7.044,0.2,0.9978,0.0147,0.00762,-0.0408,0.2352,1.0
5,7.035,0.2,0.9972,0.01465,0.00758,-0.0409,0.2355,1.0
6,6.946,0.201,0.9904,0.01443,0.00741,-0.0414,0.2481,1.0
7,6.985,0.2,0.9931,0.01453,0.00747,-0.0411,0.2428,1.0
8,6.963,0.201,0.9916,0.01446,0.00743,-0.0413,0.2451,1.0
9,7.043,0.199,0.9976,0.01469,0.00761,-0.0408,0.2357,1.0
10,7.034,0.2,0.9972,0.01463,0.00756,-0.0409,0.235,1.0
11,6.962,0.199,0.9912,0.01448,0.00744,-0.0413,0.2473,1.0
12,7.054,0.201,0.9987,0.01475,0.00766,-0.0407,0.2338,1.0
13,6.958,0.2,0.9911,0.01446,0.00743,-0.0413,0.2468,1.0
14,6.93,0.201,0.9892,0.01437,0.00737,-0.0415,0.2499,1.0
