,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,19.069,0.2,0.6374,0.19768,0.19456,-0.0477,0.0491,1.0
1,19.064,0.2,0.6385,0.19744,0.19433,-0.0475,0.049,1.0
2,18.921,0.2,0.6332,0.19638,0.19326,-0.0474,0.0497,1.0
3,19.005,0.2,0.637,0.19686,0.19375,-0.0474,0.0491,1.0
4,18.951,0.2,0.6334,0.19677,0.19364,-0.0476,0.0497,1.0
5,18.95,0.2,0.634,0.19663,0.19351,-0.0475,0.0496,1.0
6,18.981,0.201,0.6338,0.19713,0.194,-0.0477,0.0497,1.0
7,19.071,0.199,0.6387,0.19748,0.19437,-0.0475,0.049,1.0
8,18.98,0.2,0.6356,0.19675,0.19364,-0.0474,0.0493,1.0
9,18.992,0.199,0.6359,0.19684,0.19372,-0.0474,0.0493,1.0
10,19.06,0.2,0.637,0.19762,0.1945,-0.0477,0.0492,1.0
11,18.947,0.2,0.6333,0.19673,0.1936,-0.0476,0.0497,1.0
12,19.064,0.2,0.6371,0.19767,0.19455,-0.0477,0.0492,1.0
13,19.051,0.199,0.6371,0.19746,0.19434,-0.0476,0.0492,1.0
14,18.969,0.199,0.6343,0.19682,0.19369,-0.0476,0.0496,1.0
