,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,17.983,0.199,0.6559,0.18316,0.18003,-0.0375,0.056,1.0
1,17.955,0.201,0.6476,0.18275,0.1796,-0.0389,0.0564,1.0
2,18.04,0.2,0.904,0.21906,0.21558,-0.0791,0.0496,1.0
3,17.997,0.199,0.9039,0.21794,0.21449,-0.0784,0.0494,1.0
4,18.028,0.2,0.9028,0.21916,0.21567,-0.0793,0.0498,1.0
5,17.926,0.201,0.9,0.21767,0.2142,-0.0786,0.05,1.0
6,18.019,0.2,0.9049,0.21823,0.21477,-0.0785,0.0494,1.0
7,18.043,0.2,0.6518,0.18438,0.18126,-0.0386,0.0559,1.0
8,17.92,0.201,0.8996,0.21764,0.21417,-0.0786,0.05,1.0
9,18.059,0.2,0.9056,0.219,0.21552,-0.0789,0.0494,1.0
10,17.946,0.2,0.8997,0.2182,0.21471,-0.0789,0.0502,1.0
11,17.954,0.201,0.9008,0.21806,0.21458,-0.0788,0.0499,1.0
12,17.964,0.2,0.9021,0.2178,0.21434,-0.0785,0.0497,1.0
13,17.988,0.201,0.9027,0.21825,0.21478,-0.0787,0.0496,1.0
14,18.013,0.201,0.9022,0.21907,0.21557,-0.0793,0.0499,1.0
