,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,0.071,0.2,0.2582,0.00874,0.00385,-0.0533,0.7885,0.9564
1,-0.032,0.201,0.2434,0.00873,0.00385,-0.0529,0.7962,0.9472
2,0.041,0.199,0.2542,0.0088,0.00389,-0.0533,0.7925,0.9557
3,-0.01,0.199,0.2468,0.00874,0.00385,-0.053,0.7954,0.9496
4,-0.052,0.2,0.2412,0.0088,0.00392,-0.053,0.7985,0.9473
5,0.039,0.2,0.2537,0.00879,0.00389,-0.0532,0.7924,0.9555
6,0.06,0.2,0.2565,0.00876,0.00386,-0.0533,0.7897,0.9561
7,-0.044,0.2,0.2423,0.00879,0.00391,-0.053,0.7979,0.9477
8,-0.011,0.201,0.2471,0.00878,0.00388,-0.0531,0.7959,0.9502
9,-0.027,0.2,0.2442,0.00873,0.00385,-0.0529,0.7961,0.9478
10,-0.014,0.2,0.247,0.0088,0.00391,-0.0532,0.7965,0.9508
11,0.004,0.2,0.2492,0.00878,0.00388,-0.0532,0.7953,0.9519
12,-0.062,0.2,0.239,0.00875,0.00389,-0.0528,0.7984,0.9455
13,0.041,0.2,0.2529,0.00875,0.00386,-0.053,0.791,0.9548
14,0.021,0.2,0.2514,0.00882,0.0039,-0.0532,0.7946,0.9546
