,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,8.93,0.201,1.9129,0.0247,0.018,-0.2077,0.4784,1.0
1,8.972,0.201,1.9161,0.02496,0.01826,-0.2075,0.4786,1.0
2,9.031,0.2,1.9201,0.02492,0.01826,-0.2071,0.4772,1.0
3,9.069,0.2,1.923,0.02502,0.01837,-0.2068,0.4768,1.0
4,9.004,0.201,1.9181,0.02496,0.01828,-0.2072,0.4778,1.0
5,8.931,0.201,1.9133,0.02481,0.01809,-0.2078,0.4789,1.0
6,8.996,0.199,1.9173,0.02486,0.01817,-0.2073,0.4779,1.0
7,9.056,0.201,1.9223,0.02495,0.01831,-0.2069,0.4767,1.0
8,8.935,0.2,1.9131,0.02469,0.01799,-0.2077,0.4784,1.0
9,9.044,0.2,1.9208,0.02508,0.01842,-0.207,0.4776,1.0
10,9.02,0.2,1.9191,0.02508,0.0184,-0.2072,0.4781,1.0
11,8.996,0.2,1.9177,0.02505,0.01835,-0.2074,0.4786,1.0
12,9.024,0.2,1.9194,0.02511,0.01843,-0.2072,0.4782,1.0
13,9.021,0.2,1.9193,0.02511,0.01843,-0.2072,0.4783,1.0
14,8.99,0.2,1.9172,0.02498,0.01829,-0.2074,0.4784,1.0
