,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,0.063,0.199,0.5042,0.00907,0.00373,-0.1087,0.7275,1.0
1,0.041,0.2,0.5021,0.00908,0.00375,-0.1088,0.7292,1.0
2,0.024,0.2,0.5004,0.009,0.00371,-0.1088,0.7284,1.0
3,-0.011,0.201,0.497,0.00898,0.0037,-0.1089,0.7302,1.0
4,-0.012,0.201,0.4969,0.00902,0.00372,-0.109,0.7313,1.0
5,0.071,0.201,0.5052,0.00901,0.0037,-0.1087,0.7254,1.0
6,-0.038,0.2,0.4944,0.00903,0.00373,-0.1091,0.7337,1.0
7,0.006,0.199,0.4986,0.00906,0.00374,-0.1089,0.7315,1.0
8,0.065,0.2,0.5045,0.00901,0.0037,-0.1087,0.726,1.0
9,-0.068,0.2,0.4912,0.00901,0.00374,-0.1091,0.735,1.0
10,-0.026,0.2,0.4955,0.00902,0.00373,-0.109,0.7327,1.0
11,0.039,0.2,0.5019,0.009,0.0037,-0.1088,0.7273,1.0
12,0.026,0.201,0.5007,0.00906,0.00374,-0.1089,0.7295,1.0
13,0.073,0.199,0.5052,0.00901,0.0037,-0.1086,0.7256,1.0
14,0.06,0.2,0.504,0.00906,0.00373,-0.1087,0.7274,1.0
