,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,5.922,0.201,248179,1.2369,0.01456,0.00776,-0.1229,0.5034,1.0
1,6.059,0.198,251990,1.25,0.01457,0.00782,-0.1225,0.4983,1.0
2,5.922,0.201,252451,1.2367,0.01444,0.00768,-0.1228,0.502,1.0
3,5.95,0.198,249642,1.2388,0.01453,0.00775,-0.1228,0.5023,1.0
4,5.961,0.201,253620,1.2406,0.01445,0.0077,-0.1227,0.5005,1.0
5,6.075,0.201,246442,1.2524,0.01475,0.00797,-0.1225,0.4993,1.0
6,5.979,0.2,248964,1.2423,0.01458,0.00781,-0.1227,0.5015,1.0
7,6.065,0.198,246245,1.2506,0.01473,0.00795,-0.1225,0.4999,1.0
8,5.923,0.197,252914,1.2357,0.01441,0.00765,-0.1228,0.5022,1.0
9,5.972,0.202,246903,1.2422,0.01464,0.00785,-0.1228,0.5022,1.0
