,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,18.991,0.199,253325,1.4137,0.13724,0.13267,-0.0661,0.0272,1.0
1,19.042,0.199,252811,1.4118,0.13837,0.13384,-0.0667,0.0272,1.0
2,19.016,0.201,253693,1.4119,0.13815,0.13362,-0.0666,0.0272,1.0
3,19.073,0.198,253673,1.4123,0.13866,0.13414,-0.0669,0.0271,1.0
4,18.92,0.199,254999,1.4171,0.13554,0.13092,-0.0654,0.0272,1.0
5,19.022,0.202,254741,1.4117,0.13838,0.13385,-0.0668,0.0271,1.0
6,18.969,0.198,248950,1.4104,0.13739,0.13283,-0.0661,0.0277,1.0
7,18.948,0.198,253607,1.4159,0.13607,0.13147,-0.0656,0.0273,1.0
8,18.985,0.2,249089,1.4084,0.1382,0.13368,-0.0665,0.0277,1.0
9,19.032,0.201,248997,1.4059,0.1395,0.13502,-0.0672,0.0276,1.0
