,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,12.053,0.199,252167,1.4642,0.04197,0.03473,-0.0661,0.0774,1.0
1,12.038,0.198,251206,1.4641,0.04178,0.03453,-0.0661,0.0781,1.0
2,11.973,0.199,246868,1.4631,0.04127,0.03397,-0.0664,0.0813,1.0
3,12.012,0.198,250435,1.4638,0.04155,0.03427,-0.0663,0.0792,1.0
4,12.048,0.202,252300,1.4638,0.04209,0.03486,-0.066,0.0774,1.0
5,11.958,0.2,249411,1.4637,0.04109,0.0338,-0.0665,0.081,1.0
6,12.045,0.202,252452,1.4639,0.04205,0.03481,-0.066,0.0774,1.0
7,12.054,0.202,247545,1.4616,0.04237,0.03511,-0.0658,0.0785,1.0
8,12.076,0.202,250909,1.463,0.04247,0.03523,-0.0658,0.0769,1.0
9,12.053,0.2,253053,1.4644,0.042,0.03476,-0.0661,0.0771,1.0
