,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,9.04,0.2,249820,1.4905,0.018,0.01169,-0.1034,0.3594,1.0
1,8.926,0.201,251158,1.4849,0.01778,0.01144,-0.1046,0.3668,1.0
2,8.932,0.201,254688,1.4849,0.01771,0.01138,-0.1045,0.3652,1.0
3,8.997,0.201,247097,1.4885,0.018,0.01166,-0.1038,0.3636,1.0
4,9.056,0.2,251970,1.4911,0.01798,0.01168,-0.1031,0.3573,1.0
5,8.97,0.198,254208,1.4866,0.01776,0.01144,-0.1042,0.3631,1.0
6,9.02,0.198,253684,1.4891,0.01785,0.01155,-0.1036,0.3595,1.0
7,9.021,0.201,245377,1.4898,0.01809,0.01175,-0.1036,0.3625,1.0
8,8.958,0.199,247600,1.4862,0.01791,0.01155,-0.1043,0.3663,1.0
9,8.972,0.201,245169,1.4872,0.01802,0.01165,-0.1041,0.3661,1.0
