,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,2.04,0.202,250140,0.8178,0.01081,0.00436,-0.1278,0.6158,1.0
1,2.067,0.2,247190,0.8204,0.01088,0.0044,-0.1278,0.6162,1.0
2,1.947,0.199,253445,0.8073,0.01067,0.00426,-0.1279,0.6185,1.0
3,1.977,0.202,249000,0.8111,0.01079,0.00434,-0.1279,0.6188,1.0
4,2.022,0.202,249311,0.8159,0.01081,0.00436,-0.1279,0.6169,1.0
5,2.005,0.203,245939,0.8144,0.01087,0.00439,-0.1279,0.6189,1.0
6,1.977,0.199,246511,0.8108,0.01083,0.00435,-0.1279,0.6203,1.0
7,2.008,0.201,252034,0.8141,0.01074,0.00432,-0.1278,0.6164,1.0
8,1.954,0.202,247775,0.8087,0.0108,0.00433,-0.128,0.6203,1.0
9,2.038,0.201,251896,0.8174,0.01077,0.00433,-0.1278,0.6153,1.0
