,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,4.933,0.199,250567,1.132,0.01342,0.00657,-0.1245,0.53,1.0
1,5.021,0.2,253425,1.1422,0.01346,0.00659,-0.1245,0.527,1.0
2,4.975,0.202,249196,1.1373,0.01351,0.00664,-0.1245,0.5292,1.0
3,5.013,0.198,248877,1.1405,0.01354,0.00666,-0.1244,0.5286,1.0
4,4.969,0.201,248604,1.1364,0.01351,0.00664,-0.1245,0.5296,1.0
5,4.944,0.201,247366,1.1336,0.01352,0.00665,-0.1246,0.5306,1.0
6,5.026,0.2,246218,1.1423,0.01363,0.00674,-0.1245,0.5289,1.0
7,4.992,0.199,249059,1.1384,0.01352,0.00665,-0.1245,0.529,1.0
8,5.03,0.197,251981,1.1423,0.01349,0.00662,-0.1244,0.5273,1.0
9,5.006,0.198,253276,1.1399,0.01344,0.00658,-0.1245,0.5275,1.0
