,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,13.969,0.202,246958,1.426,0.06828,0.06145,-0.0591,0.0503,1.0
1,13.969,0.2,254299,1.4308,0.06771,0.06095,-0.0594,0.0493,1.0
2,13.978,0.198,246664,1.4267,0.06807,0.06123,-0.0591,0.0503,1.0
3,13.999,0.201,249870,1.4282,0.06838,0.0616,-0.0592,0.0496,1.0
4,14.014,0.202,250117,1.4282,0.06863,0.06186,-0.0591,0.0494,1.0
5,14.014,0.202,253997,1.4303,0.06844,0.0617,-0.0593,0.0489,1.0
6,14.036,0.201,250285,1.4286,0.0688,0.06204,-0.0591,0.0492,1.0
7,14.013,0.198,253773,1.431,0.0681,0.06135,-0.0593,0.049,1.0
8,14.073,0.202,247557,1.4271,0.06946,0.0627,-0.0589,0.0493,1.0
9,13.947,0.202,245132,1.4245,0.06814,0.06127,-0.059,0.0507,1.0
