,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,3.94,0.201,252011,1.0262,0.01245,0.00558,-0.126,0.557,1.0
1,3.964,0.203,250739,1.0291,0.01251,0.00563,-0.126,0.5565,1.0
2,4.017,0.201,248371,1.0343,0.0126,0.00571,-0.1259,0.556,1.0
3,4.067,0.2,250514,1.0391,0.01258,0.00573,-0.1257,0.5537,1.0
4,4.011,0.198,252448,1.0328,0.01249,0.00564,-0.1257,0.5549,1.0
5,4.058,0.197,249755,1.0376,0.01258,0.00572,-0.1257,0.5545,1.0
6,3.956,0.198,245802,1.0271,0.01258,0.00567,-0.1259,0.5587,1.0
7,4.051,0.202,249142,1.038,0.01261,0.00574,-0.1258,0.5546,1.0
8,3.956,0.203,245033,1.0282,0.01261,0.0057,-0.126,0.5586,1.0
9,4.042,0.202,246817,1.0372,0.01266,0.00576,-0.1259,0.5557,1.0
