,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,6.989,0.199,251134,1.3398,0.0155,0.00883,-0.1191,0.4645,1.0
1,7.038,0.199,252350,1.3447,0.01552,0.00882,-0.1189,0.462,1.0
2,7.07,0.203,252450,1.3492,0.01559,0.00887,-0.1189,0.4602,1.0
3,7.045,0.203,248867,1.3464,0.01564,0.00893,-0.1189,0.4624,1.0
4,6.955,0.197,254448,1.3361,0.01537,0.00872,-0.1192,0.4651,1.0
5,7.051,0.201,245569,1.3462,0.01572,0.00901,-0.1189,0.4634,1.0
6,6.965,0.202,247949,1.3386,0.01559,0.00891,-0.1193,0.4664,1.0
7,7.053,0.2,252082,1.3466,0.01555,0.00884,-0.1189,0.4613,1.0
8,6.921,0.203,249368,1.3349,0.01552,0.00885,-0.1195,0.4679,1.0
9,6.992,0.201,248892,1.3407,0.01557,0.0089,-0.1191,0.4649,1.0
