,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,10.071,0.199,1.1019,0.02735,0.01991,0.0028,0.049,1.0
1,10.061,0.2,1.1013,0.02733,0.01989,0.0028,0.0491,1.0
2,10.08,0.199,1.102,0.02761,0.02014,0.0029,0.0493,1.0
3,9.944,0.199,1.0931,0.02708,0.0195,0.0019,0.0504,1.0
4,10.024,0.201,1.0992,0.0271,0.01966,0.0026,0.0492,1.0
5,10.021,0.199,1.0982,0.02734,0.01983,0.0025,0.0498,1.0
6,10.029,0.2,1.0998,0.02694,0.01953,0.0025,0.0488,1.0
7,10.071,0.199,1.1019,0.02735,0.01992,0.0028,0.049,1.0
8,9.995,0.201,1.0975,0.0269,0.01945,0.0023,0.0493,1.0
9,10.079,0.2,1.1023,0.02748,0.02004,0.0029,0.0491,1.0
10,10.042,0.2,1.1005,0.02707,0.01966,0.0026,0.0489,1.0
11,9.979,0.201,1.0956,0.02723,0.01969,0.0023,0.0501,1.0
12,9.973,0.201,1.0955,0.02704,0.01953,0.0022,0.0499,1.0
13,10.04,0.201,1.0999,0.02733,0.01986,0.0027,0.0494,1.0
14,9.964,0.2,1.0952,0.02684,0.01935,0.0021,0.0497,1.0
15,9.964,0.2,1.0952,0.02683,0.01934,0.0021,0.0497,1.0
16,10.002,0.2,1.0982,0.02682,0.0194,0.0023,0.0491,1.0
17,10.042,0.2,1.1006,0.02703,0.01962,0.0026,0.0488,1.0
18,9.928,0.199,1.0923,0.02687,0.01931,0.0018,0.0503,1.0
19,9.926,0.201,1.0929,0.02666,0.01916,0.0019,0.0499,1.0
20,10.005,0.2,1.0974,0.02721,0.01971,0.0024,0.0497,1.0
21,9.968,0.2,1.0952,0.02694,0.01944,0.0021,0.0498,1.0
22,9.977,0.199,1.0958,0.02694,0.01944,0.0021,0.0498,1.0
23,10.08,0.201,1.1024,0.02752,0.02008,0.003,0.0491,1.0
24,10.018,0.199,1.0987,0.02702,0.01957,0.0024,0.0492,1.0
25,10.027,0.2,1.0987,0.02738,0.01988,0.0026,0.0497,1.0
26,10.039,0.2,1.1004,0.02703,0.01962,0.0026,0.0489,1.0
27,9.978,0.2,1.0957,0.02706,0.01955,0.0022,0.0499,1.0
28,10.079,0.2,1.1025,0.02739,0.01997,0.0029,0.0489,1.0
