,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,6.986,0.2,0.8818,0.01583,0.00825,-0.0173,0.1258,1.0
1,6.965,0.2,0.88,0.0158,0.00821,-0.0174,0.1276,1.0
2,6.962,0.2,0.8796,0.01581,0.00822,-0.0174,0.1282,1.0
3,6.934,0.2,0.8774,0.01571,0.00812,-0.0176,0.1297,1.0
4,6.968,0.2,0.88,0.01584,0.00824,-0.0174,0.1279,1.0
5,6.973,0.201,0.8805,0.01587,0.00827,-0.0173,0.1274,1.0
6,6.97,0.201,0.8802,0.01587,0.00827,-0.0173,0.1278,1.0
7,7.043,0.2,0.886,0.01606,0.00843,-0.0169,0.1226,1.0
8,7.033,0.2,0.8855,0.01597,0.00836,-0.017,0.1224,1.0
9,6.964,0.201,0.8799,0.01583,0.00823,-0.0174,0.1279,1.0
10,6.991,0.2,0.8817,0.01594,0.00832,-0.0172,0.1267,1.0
11,6.96,0.2,0.8793,0.01582,0.00822,-0.0174,0.1284,1.0
12,7.004,0.201,0.883,0.01597,0.00836,-0.0171,0.1254,1.0
13,6.953,0.2,0.8786,0.01582,0.00822,-0.0174,0.1293,1.0
14,6.931,0.2,0.8771,0.01571,0.00812,-0.0176,0.13,1.0
