,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,2.928,0.199,0.5332,0.00988,0.004,-0.0391,0.5681,1.0
1,3.039,0.2,0.5436,0.00991,0.00399,-0.0387,0.5566,1.0
2,2.983,0.2,0.5384,0.00989,0.00398,-0.0389,0.5617,1.0
3,2.942,0.199,0.5345,0.0099,0.004,-0.0391,0.5671,1.0
4,3.021,0.201,0.5421,0.00994,0.004,-0.0388,0.5593,1.0
5,2.999,0.2,0.5399,0.00993,0.004,-0.0388,0.5617,1.0
6,2.977,0.201,0.538,0.00993,0.00401,-0.0389,0.5639,1.0
7,2.936,0.2,0.5341,0.00985,0.00397,-0.0391,0.5657,1.0
8,3.058,0.199,0.5453,0.00991,0.004,-0.0386,0.5549,1.0
9,3.051,0.2,0.5448,0.00996,0.00402,-0.0386,0.5571,1.0
10,3.002,0.201,0.5403,0.00996,0.00402,-0.0388,0.562,1.0
11,3.01,0.2,0.5409,0.00996,0.00401,-0.0388,0.5614,1.0
12,2.955,0.201,0.5359,0.00987,0.00398,-0.039,0.5641,1.0
13,2.978,0.201,0.5381,0.00992,0.004,-0.0389,0.5634,1.0
14,2.944,0.199,0.5347,0.0099,0.00401,-0.0391,0.5671,1.0
