,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,9.021,0.2,252761,1.7184,0.02046,0.01399,-0.1573,0.442,1.0
1,8.983,0.198,246496,1.7198,0.02063,0.01408,-0.1585,0.4457,1.0
2,8.985,0.202,250096,1.7191,0.02055,0.01404,-0.158,0.4442,1.0
3,9.017,0.201,245047,1.7214,0.02077,0.01423,-0.1579,0.4445,1.0
4,8.928,0.202,250831,1.7185,0.02045,0.01391,-0.1591,0.4464,1.0
5,9.058,0.2,253539,1.7193,0.02047,0.014,-0.1566,0.4403,1.0
6,8.992,0.201,246160,1.7206,0.02069,0.01415,-0.1583,0.4452,1.0
7,8.984,0.202,246983,1.7204,0.02066,0.01413,-0.1583,0.4452,1.0
8,9.066,0.2,253913,1.7194,0.02046,0.014,-0.1565,0.4399,1.0
9,8.952,0.2,254979,1.7162,0.02031,0.01382,-0.1583,0.4443,1.0
