,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,3.061,0.201,245960,1.1397,0.01344,0.00634,-0.1742,0.5701,1.0
1,2.976,0.198,250951,1.1298,0.01322,0.00618,-0.1742,0.5706,1.0
2,2.934,0.198,252182,1.1252,0.01316,0.00613,-0.1742,0.5711,1.0
3,2.95,0.2,254711,1.1273,0.01312,0.00611,-0.1742,0.5697,1.0
4,3.03,0.197,254009,1.1353,0.0132,0.00616,-0.1741,0.5684,1.0
5,2.995,0.201,247395,1.1326,0.01334,0.00626,-0.1743,0.5711,1.0
6,2.946,0.201,254506,1.1271,0.01312,0.00611,-0.1742,0.5698,1.0
7,2.982,0.2,249566,1.1309,0.01327,0.00621,-0.1742,0.5708,1.0
8,2.938,0.203,252224,1.1268,0.01318,0.00615,-0.1743,0.5706,1.0
9,2.961,0.198,247465,1.1283,0.01329,0.00622,-0.1743,0.5722,1.0
