,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,12.967,0.198,249083,1.6946,0.04742,0.0412,-0.1047,0.1813,1.0
1,13.037,0.202,250245,1.6863,0.04922,0.04298,-0.1039,0.1715,1.0
2,12.984,0.202,248288,1.6919,0.04809,0.04188,-0.1044,0.1792,1.0
3,13.062,0.2,252529,1.6834,0.04968,0.04342,-0.1038,0.1678,1.0
4,12.981,0.2,249233,1.6925,0.04788,0.04166,-0.1045,0.1794,1.0
5,13.003,0.199,245128,1.6917,0.04813,0.04191,-0.1043,0.1803,1.0
6,12.956,0.203,247510,1.6948,0.04756,0.04137,-0.1046,0.1825,1.0
7,12.933,0.202,249873,1.6968,0.04707,0.04088,-0.1049,0.1834,1.0
8,12.948,0.198,246978,1.6972,0.04696,0.04076,-0.1049,0.1845,1.0
9,12.982,0.198,253609,1.6918,0.04786,0.04163,-0.1046,0.1761,1.0
