,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,6.007,0.202,253270,1.4598,0.01671,0.00948,-0.1722,0.5134,1.0
1,5.948,0.197,252290,1.4501,0.01658,0.00938,-0.1718,0.5148,1.0
2,5.943,0.2,252003,1.4505,0.01661,0.0094,-0.1719,0.5148,1.0
3,5.96,0.2,247487,1.4515,0.01676,0.00954,-0.1718,0.5157,1.0
4,6.078,0.201,248516,1.4667,0.01694,0.00969,-0.1721,0.5135,1.0
5,6.023,0.198,251878,1.4597,0.01673,0.0095,-0.172,0.5137,1.0
6,5.988,0.201,253162,1.4568,0.01667,0.00944,-0.1721,0.5138,1.0
7,6.054,0.199,254207,1.4626,0.01672,0.00953,-0.1719,0.5125,1.0
8,6.005,0.203,247245,1.4579,0.01686,0.00962,-0.1719,0.5149,1.0
9,5.925,0.201,252460,1.4488,0.01657,0.00937,-0.1719,0.5149,1.0
