,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,17.925,0.197,249821,1.509,0.13164,0.12568,-0.0979,0.0335,1.0
1,18.023,0.201,254192,1.5111,0.13299,0.12713,-0.0981,0.0327,1.0
2,18.014,0.199,246258,1.5118,0.1322,0.12622,-0.0974,0.0332,1.0
3,17.929,0.199,253887,1.5095,0.13179,0.12585,-0.098,0.0332,1.0
4,18.034,0.202,254097,1.199,0.12489,0.12004,-0.0694,0.0417,1.0
5,18.073,0.201,253032,1.512,0.13347,0.12762,-0.0981,0.0326,1.0
6,17.981,0.198,248944,1.511,0.13193,0.12596,-0.0976,0.0332,1.0
7,18.043,0.2,251626,1.5116,0.13299,0.1271,-0.098,0.0328,1.0
8,18.03,0.2,254452,1.5112,0.133,0.12714,-0.0982,0.0327,1.0
9,17.941,0.197,248132,1.5091,0.13182,0.12586,-0.0979,0.0336,1.0
